station_id,lat,lon
US1TXBST071,30.1542,-97.2463
US1TXBST072,30.3874,-97.3573
US1TXBST073,30.1706,-97.2559
US1TXBST074,30.1308,-97.3034
US1TXBST075,30.1517,-97.2206
US1TXBST076,30.365,-97.3729
US1TXBST078,30.1661,-97.2553
US1TXBST079,30.1118,-97.3353
US1TXBST080,30.0969,-97.2843
US1TXBST081,30.0077,-97.1412
US1TXBST083,30.1571,-97.1584
US1TXBST085,29.9491,-97.2555
US1TXBST086,30.1685,-97.2498
US1TXBST088,30.303,-97.2336
US1TXBST089,30.1475,-97.1746
US1TXBST090,29.9765,-97.449
US1TXBST091,30.2255,-97.2774
US1TXBST092,30.3519,-97.3683
US1TXBST093,30.354,-97.4062
US1TXBST094,30.0236,-97.5483
US1TXBST095,30.3768,-97.3269
US1TXBST096,30.2242,-97.4311
US1TXBST097,30.3526,-97.301
US1TXBST098,30.14,-97.1753
US1TXBST099,30.168,-97.2327
US1TXBST100,29.9955,-97.2512
US1TXBST102,30.1156,-97.3149
US1TXBST105,30.092,-97.4804
US1TXBST107,30.0455,-97.4206
US1TXBST108,30.0683,-97.194
US1TXBST110,30.1788,-97.1497
US1TXBST113,30.0795,-97.3044
US1TXBST115,30.1357,-97.4933
US1TXBST116,30.1502,-97.245
US1TXBST117,30.0741,-97.2838
US1TXBST119,30.1207,-97.3437
US1TXBST120,30.0754,-97.1775
US1TXBST121,30.094,-97.2
US1TXBST122,30.0794,-97.1944
US1TXBST123,30.3115,-97.1702
US1TXBST125,30.3069,-97.4024
US1TXBST127,30.1302,-97.2698
US1TXBST130,30.1271,-97.325
US1TXBST131,30.2817,-97.2287
US1TXBST132,30.2112,-97.4243
US1TXBST133,30.126,-97.4129
US1TXBST134,30.1346,-97.4816
US1TXBST135,30.1037,-97.2188
US1TXBST136,30.0826,-97.3289
US1TXBST137,30.1071,-97.3177
US1TXBST138,30.113,-97.3144
US1TXBST139,30.2862,-97.2508
US1TXBST140,30.1153,-97.342
US1TXBST141,30.0651,-97.1319
US1TXBST142,30.1235,-97.3405
US1TXBST143,30.1615,-97.1607
US1TXBST144,30.0793,-97.2835
US1TXBST147,30.0443,-97.3582
US1TXBST149,30.195,-97.0865
US1TXBST150,29.995,-97.248
US1TXBST152,30.3702,-97.3113
US1TXBST153,30.3357,-97.3681
US1TXBST156,30.175,-97.2889
US1TXBST157,30.3606,-97.3958
US1TXBST158,30.1636,-97.1829
US1TXBST159,30.1695,-97.4929
US1TXBST163,30.3177,-97.4034
US1TXBST164,30.1019,-97.553
US1TXBST165,30.0749,-97.2898
US1TXBST166,30.1644,-97.158
US1TXBST167,29.9575,-97.3227
US1TXBST168,30.1191,-97.3971
US1TXBST170,30.1474,-97.4749
US1TXBST171,30.0103,-97.1534
US1TXBST172,30.1,-97.29
US1TXBST173,30.1768,-97.22
US1TXBST174,30.1344,-97.4216
US1TXBST176,30.1722,-97.4885
US1TXBST177,30.2197,-97.4223
US1TXBST179,30.3584,-97.3844
US1TXBST180,30.2815,-97.2284
US1TXBST183,30.1146,-97.3186
US1TXBST184,30.178,-97.4886
US1TXBST185,30.081,-97.193
US1TXBST186,30.0771,-97.2765
US1TXBST187,30.1318,-97.4879
US1TXBST188,30.1188,-97.3265
US1TXBST190,30.2534,-97.1575
US1TXBST194,30.0129,-97.1514
US1TXBWE001,33.5058,-94.6173
US1TXBWE005,33.4273,-94.1255
US1TXBWE006,33.4659,-94.1711
US1TXBWE007,33.5044,-94.5832
US1TXBWE008,33.462,-94.3051
US1TXBWE010,33.408,-94.1707
US1TXBWE011,33.4702,-94.411
US1TXBWE015,33.4777,-94.5712
US1TXBXR008,29.5925,-98.4071
US1TXBXR011,29.5728,-98.4775
US1TXBXR014,29.572,-98.678
US1TXBXR015,29.3387,-98.5987
US1TXBXR021,29.6249,-98.4879
US1TXBXR024,29.6292,-98.4463
US1TXBXR027,29.7013,-98.6841
US1TXBXR028,29.5187,-98.6178
US1TXBXR031,29.3788,-98.4217
US1TXBXR032,29.5898,-98.4119
US1TXBXR038,29.5493,-98.7645
US1TXBXR048,29.5903,-98.4579
US1TXBXR058,29.609,-98.4313
US1TXBXR065,29.6474,-98.4178
US1TXBXR070,29.622,-98.4797
US1TXBXR075,29.5862,-98.5739
US1TXBXR087,29.5853,-98.7011
US1TXBXR088,29.437,-98.4841
US1TXBXR095,29.517,-98.675
US1TXBXR103,29.6832,-98.6339
US1TXBXR116,29.3667,-98.5569
US1TXBXR121,29.4147,-98.4959
US1TXBXR127,29.7134,-98.4406
US1TXBXR129,29.6711,-98.5087
US1TXBXR130,29.4607,-98.3881
US1TXBXR133,29.5215,-98.3768
US1TXBXR134,29.4921,-98.1911
US1TXBXR135,29.4856,-98.4335
US1TXBXR136,29.4337,-98.7417
US1TXBXR138,29.4894,-98.6593
US1TXBXR143,29.492,-98.4708
US1TXBXR146,29.7348,-98.6425
US1TXBXR151,29.293,-98.7861
US1TXBXR156,29.4895,-98.595
US1TXBXR163,29.5049,-98.6428
US1TXBXR168,29.6201,-98.4169
US1TXBXR169,29.3032,-98.4791
