fips_code,date,flood,hail,heat,high_wind,hurricane,lightning,other,thunderstorm_wind,tornado,wildfire,winter_storm,total_events,max_magnitude,total_damage,total_injuries,total_deaths,any_storm
48005,2014-02-20,0,0,0,0,0,0,0,1,0,0,0,1,53.0,0.0,0,0,1
48005,2014-03-16,0,1,0,0,0,0,0,0,0,0,0,2,1.0,0.0,0,0,1
48005,2014-03-28,0,0,0,0,0,0,0,1,0,0,0,1,57.0,0.0,0,0,1
48005,2014-04-06,0,1,0,0,0,0,0,0,0,0,0,2,1.75,0.0,0,0,1
48005,2014-05-12,1,0,0,0,0,0,0,0,0,0,0,2,,0.0,0,0,1
48005,2014-07-03,0,1,0,0,0,0,0,1,0,0,0,3,53.0,0.0,0,0,1
48005,2014-07-17,1,1,0,0,0,0,0,0,0,0,0,3,0.88,5000.0,0,0,1
48005,2014-12-27,0,1,0,0,0,0,0,1,0,0,0,4,52.0,0.0,0,0,1
48005,2015-02-23,0,0,0,0,0,0,0,0,0,0,1,1,,0.0,0,0,1
48005,2015-02-25,0,0,0,0,0,0,0,0,0,0,1,1,,0.0,0,0,1
48005,2015-03-04,0,0,0,0,0,0,0,0,0,0,1,1,,0.0,0,0,1
48005,2015-04-16,0,0,0,0,0,0,0,1,0,0,0,1,52.0,0.0,0,0,1
48005,2015-04-27,1,1,0,0,0,0,0,0,0,0,0,2,1.0,0.0,0,0,1
48005,2015-05-18,1,0,0,0,0,0,0,0,0,0,0,6,,0.0,0,0,1
48005,2015-05-19,0,1,0,0,0,0,0,1,0,0,0,2,52.0,0.0,0,0,1
48005,2015-05-21,1,0,0,0,0,0,0,0,0,0,0,2,,0.0,0,0,1
48005,2015-06-17,1,0,0,0,0,0,0,0,0,0,0,3,,0.0,0,0,1
48005,2015-06-18,1,0,0,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48005,2015-07-13,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48005,2015-08-05,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48005,2015-08-22,0,0,0,0,0,0,0,1,0,0,0,1,52.0,0.0,0,0,1
48005,2015-09-01,0,0,0,0,0,0,1,0,0,0,0,1,,0.0,0,0,0
48005,2015-10-01,0,0,0,0,0,0,1,0,0,0,0,1,,0.0,0,0,0
48005,2015-11-17,1,0,0,0,0,0,0,0,0,0,0,2,,150000.0,0,0,1
48005,2015-12-13,0,0,0,0,0,0,0,1,0,0,0,1,70.0,100000.0,0,0,1
48005,2015-12-27,1,0,0,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48005,2016-01-08,0,1,0,0,0,0,0,0,0,0,0,1,0.75,0.0,0,0,1
48005,2016-04-21,0,0,0,0,0,0,0,1,0,0,0,2,52.0,0.0,0,0,1
48005,2016-07-03,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48005,2016-07-08,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48005,2016-07-19,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48005,2016-07-24,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48005,2016-08-03,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48005,2016-11-01,0,0,0,0,0,0,1,0,0,0,0,2,,0.0,0,0,0
48005,2016-11-29,0,1,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0,0,1
48005,2017-03-24,0,0,0,0,0,0,0,1,0,0,0,2,70.0,0.0,0,0,1
48005,2017-04-26,0,1,0,0,0,0,0,0,0,0,0,8,1.75,0.0,0,0,1
48005,2017-05-03,1,1,0,0,0,0,0,1,1,0,0,9,55.0,100000.0,0,0,1
48005,2017-05-20,0,1,0,0,0,0,0,0,0,0,0,3,1.75,0.0,0,0,1
48005,2017-05-28,0,0,0,0,0,0,0,1,0,0,0,1,61.0,0.0,0,0,1
48005,2017-07-08,0,0,0,0,0,0,0,1,0,0,0,1,56.0,0.0,0,0,1
48005,2017-07-19,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48005,2017-07-28,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48005,2017-07-29,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48005,2017-08-12,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48005,2017-08-19,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48005,2017-08-26,0,0,0,0,0,0,0,1,0,0,0,1,56.0,0.0,0,0,1
48005,2017-08-29,1,0,0,0,0,0,0,0,0,0,0,4,,0.0,0,0,1
